Dataset,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphTerminals,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,MP_MOL_Score,MP_MOL_nClades,MP_MOL_TimeScore,MP_MOL_MeanBS,MP_MOL_TimeBS,MP_TE_Score,MP_TE_nClades,MP_TE_TimeScore,MP_TE_MeanBS,MP_TE_TimeBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,MP_nPolytomiesMOL,MP_nPolytomiesTE,MP_nUniqueCladesMOL,MP_nUniqueCladesTE,MP_MOLvsTE_nSharedClades,MP_MOLvsTE_NormalizedRF,MP_MOLvsTE_NormalizedSPR,MP_MOLvsTE_NormalizedCID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_MOL_TimeBS,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_TE_noASC_TimeBS,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_TE_ASC_TimeBS,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,ML_nPolytomiesMOL,ML_nPolytomiesTEnoASC,ML_nPolytomiesTEASC,ML_MOLvsTEASC_nUniqueCladesMOL,ML_MOLvsTEASC_nUniqueCladesTEASC,ML_MOLvsTEASC_nSharedClades,ML_MOLvsTEASC_NormalizedRF,ML_MOLvsTEASC_NormalizedSPR,ML_MOLvsTEASC_NormalizedCID,ML_MOLvsTEnoASC_nUniqueCladesMOL,ML_MOLvsTEnoASC_nUniqueCladesTEnoASC,ML_MOLvsTEnoASC_nSharedClades,ML_MOLvsTEnoASC_NormalizedRF,ML_MOLvsTEnoASC_NormalizedSPR,ML_MOLvsTEnoASC_NormalizedCID
001_Janssens,73,950,73,937,69,13,0,0.986315789,0.013684211,344,48,5,51.7,55,490,48,10,39,207,0.702040816,0.297959184,10,5,19,4,29,0.298701299,0.211203,0.272756604,-3505.3868,71.2,71,13724,-4279.0031,67.1,71,56839,0.819206417,0.180793583,-4278.998,67.1,71,59123,0.819207394,0.180792606,1,1,1,12,12,59,0.171428571,0.1056015,0.095475012,12,12,59,0.171428571,0.105601519,0.095475012
002_Vieira,10,1946,10,1838,10,108,1,0.944501542,0.055498458,2006,9,3,74.1,11,2173,9,3,78.5,12,0.923147722,0.076852278,0,1,2,0,7,0.166666667,0.1643173,0.160998153,-10227.4698,85.3,8,2396,-11057.894,88.6,8,4925,0.924902138,0.075097862,-11037.4715,88.1,8,4460,0.926613473,0.073386527,1,1,1,0,0,8,0,0,0,0,0,8,0,0,0
003_Leary,9,2780,9,2657,9,123,34,0.955755396,0.044244604,2138,8,2,93.9,9,2298,8,3,82.7,8,0.930374238,0.069625762,0,0,1,1,7,0.166666667,0.1931574,0.161898556,-12528.8058,89.3,7,2102,-13345.9606,90.3,7,2541,0.938771376,0.061228624,-13232.4803,89.8,7,4573,0.946822177,0.053177823,1,1,1,1,1,6,0.166666667,0.1931574,0.144415288,1,1,6,0.166666667,0.1931574,0.144415288
004_Magallon,34,5470,34,5415,33,55,1,0.989945155,0.010054845,2188,31,13,72,98,2397,31,15,68.3,116,0.912807676,0.087192324,2,4,7,3,24,0.185185185,0.1046333,0.135093379,-19928.2399,86.2,32,12798,-21074.6893,88.2,32,13770,0.94560065,0.05439935,-21067.9098,87.9,32,31758,0.945904937,0.054095063,1,1,1,2,2,30,0.064516129,0.03487775,0.028460419,2,2,30,0.064516129,0.03487775,0.028460419
005_LinHastings,40,3692,40,3544,40,148,0,0.959913326,0.040086674,4816,37,47,70.8,634,5202,37,50,74.7,546,0.92579777,0.07420223,1,3,8,1,29,0.142857143,0.08716422,0.136902578,-24943.4814,82.6,38,40648,-27356.6572,91.5,38,47021,0.911788353,0.088211647,-27343.0802,91.5,38,41950,0.912241094,0.087758906,1,1,1,8,8,30,0.216216216,0.1452737,0.182333071,8,8,30,0.216216216,0.1452737,0.182333071
006_Klopfstein,77,2212,77,2146,77,66,0,0.970162749,0.029837251,5369,64,85,66.9,1422,6023,64,89,65.5,1673,0.891416238,0.108583762,5,3,15,9,49,0.203389831,0.05700452,0.194703007,-27047.9485,82.8,75,49042,-30711.4369,79.5,75,138849,0.880712569,0.119287431,-30711.4906,79.3,75,84910,0.880711029,0.119288971,1,1,1,8,8,67,0.108108108,0.08550678,0.056615547,8,8,67,0.108108108,0.08550678,0.056615547
007_Echevarria,267,14315,267,14264,240,51,0,0.996437304,0.003562696,83483,237,16199,63.2,850755,83789,237,13289,63,721813,0.996347969,0.003652031,11,10,3,15,234,0.037344398,0.03900756,0.041649033,-347967.7899,81.9,265,4698413,-349255.2394,79.3,265,11537981,0.996313729,0.003686271,-349254.8723,79.3,265,8730900,0.996314776,0.003685224,1,1,1,11,11,254,0.041666667,0.01170227,0.020791359,15,15,250,0.056818182,0.01950378,0.042814225
008_Cascini,28,15372,28,15253,28,119,0,0.992258652,0.007741348,15355,27,83,89.9,497,15753,27,82,93.9,507,0.974734971,0.025265029,0,0,0,0,27,0,0,0,-82259.598,94.1,26,47619,-84495.2036,94.3,26,56714,0.973541627,0.026458373,-84492.0971,94,26,63468,0.973577421,0.026422579,1,1,1,3,3,23,0.12,0.1307162,0.098879477,3,3,23,0.12,0.1307162,0.098879477
009_Wood,32,5444,32,5316,32,128,0,0.976487877,0.023512123,9349,21,75,55.1,933,9726,21,77,51.3,807,0.961237919,0.038762081,4,4,5,2,16,0.2,0.2242036,0.173652514,-44986.6141,73.5,30,54887,-47159.7743,78.4,30,54898,0.953919198,0.046080802,-47150.9447,78.6,30,49108,0.954097832,0.045902168,1,1,1,7,7,23,0.24137931,0.1494691,0.188363502,7,7,23,0.24137931,0.1494691,0.188363502
010_Anker,16,548,16,509,14,39,5,0.928832117,0.071167883,546,15,2,64.6,17,623,15,2,68.7,18,0.876404494,0.123595506,0,1,2,1,13,0.12,0.1719813,0.115293951,-2964.2402,75.5,12,2822,-3341.0815,74.1,12,2460,0.887209785,0.112790215,-3318.9341,72.6,12,3707,0.893130177,0.106869823,1,1,1,1,1,13,0.076923077,0.08599065,0.091606133,1,1,13,0.076923077,0.08599065,0.091606133
