Dataset,Type,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,nUniqueMorphTerminals,MP_MOL_Score,MP_MOL_homoplasy,MP_MOL_CI,MP_MOL_RI,MP_MOLonTE_Score,MP_MOLonTE_homoplasy,MP_MOLonTE_CI,MP_MOLonTE_RI,MP_MOL_nClades,MP_MOL_MeanBS,MP_MORPHonTE_Score,MP_MORPHonTE_homoplasy,MP_MORPHonTE_CI,MP_MORPHonTE_RI,MP_TE_Score,MP_TE_homoplasy,MP_TE_CI,MP_TE_RI,MP_TE_nClades,MP_TE_MeanBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,MP_(MORPH/TE)/MORPH,MP_(MORPH-homo)/(TE-homo),MP_(MORPHxCImorph)/(TExCIte),MP_nPolytomiesMOL,MP_nPolytomiesTE,MP_nUniqueCladesMOL,MP_nUniqueCladesTE,MP_MOLvsTE_nSharedClades,MP_MOLvsTE_NormalizedRF_strictConsensus,MP_MOLvsTE_NormalizedMinRF,MP_MOLvsTE_NormalizedMaxRF,MP_MOLvsTE_NormalizedMeanRF,MP_MOLvsTE_NormalizedMinSPR,MP_MOLvsTE_NormalizedMaxSPR,MP_MOLvsTE_NormalizedMeanSPR,MP_MOLvsTE_NormalizedCID_strictConsensus,MP_MOLvsTE_ACID_strictConsensus,MP_MOLvsTE_NormalizedMinCID,MP_MOLvsTE_NormalizedMaxCID,MP_MOLvsTE_NormalizedMeanCID,ML_MOL_Score,ML_TNT_MOL_Score,ML_TNT_MOL_homoplasies,ML_TNT_MOL_CI,ML_TNT_MOL_RI,ML_MOL_MeanBS,ML_MOL_nClades,ML_TE_noASC_Score,ML_TNT_MOLonTEnoASC_Score,ML_TNT_MOLonTEnoASC_homoplasies,ML_TNT_MOLonTEnoASC_CI,ML_TNT_MOLonTEnoASC_RI,ML_TNT_MORPHonTEnoASC_score,ML_TNT_MORPHonTEnoASC_homoplasies,ML_TNT_MORPHonTEnoASC_CI,ML_TNT_MORPHonTEnoASC_RI,ML_TNT_TEnoASC_Score,ML_TNT_TEnoASC_homoplasies,ML_TNT_TEnoASC_CI,ML_TNT_TEnoASC_RI,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_(MORPH/TEnoASC)/MORPH,ML_(MORPH-HOMOmorph)/(TEnoASC-HOMOte),ML_(MORPHxCImorph)/(TEnoASCxCIte),ML_TE_ASC_Score,ML_TNT_MOLonTEasc_Score,ML_TNT_MOLonTEasc_homoplasies,ML_TNT_MOLonTEasc_CI,ML_TNT_MOLonTEasc_RI,ML_TNT_MORPHonTEasc_score,ML_TNT_MORPHonTEasc_homoplasies,ML_TNT_MORPHonTEasc_CI,ML_TNT_MORPHonTEasc_RI,ML_TNT_TEasc_Score,ML_TNT_TEasc_homoplasies,ML_TNT_TEasc_CI,ML_TNT_TEasc_RI,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,ML_(MORPH/Teasc)/MORPH,ML_(MORPH-HOMOmorph)/(TEasc-HOMOte),ML_(MORPHxCImorph)/(TEascxCIte),ML_nPolytomiesMOL,ML_nPolytomiesTEnoASC,ML_nPolytomiesTEASC,ML_MOLvsTEASC_nUniqueCladesMOL,ML_MOLvsTEASC_nUniqueCladesTEASC,ML_MOLvsTEASC_nSharedClades,ML_MOLvsTEASC_NormalizedRF,ML_MOLvsTEASC_NormalizedSPR,ML_MOLvsTEASC_NormalizedCID,ML_MOLvsTEASC_ACID,ML_MOLvsTEnoASC_nUniqueCladesMOL,ML_MOLvsTEnoASC_nUniqueCladesTEnoASC,ML_MOLvsTEnoASC_nSharedClades,ML_MOLvsTEnoASC_NormalizedRF,ML_MOLvsTEnoASC_NormalizedSPR,ML_MOLvsTEnoASC_NormalizedCID,ML_MOLvsTENOASC_ACID
001_Janssens,Extant,73,950,73,937,13,0,0.986315789,0.013684211,0,344,64,0.814,0.926,346,66,0.809,0.924,48,51.7,130,104,0.2,0.586,490,184,0.624,0.835,48,39,0.706122449,0.265306122,0.002040816,0.08496732,0.265235729,10,5,19,4,29,0.298701299,0.1571429,0.4285714,0.308097,0.09051559,0.2715468,0.1937578,0.272756604,0.07793,0.07486454,0.2445571,0.1767247,-3505.3851,344,64,0.814,0.926,84.1,71,-4279.0018,346,66,0.809,0.924,145,119,0.179,0.526,491,185,0.623,0.834,87.4,71,0.704684318,0.295315682,0.00203666,0.08496732,0.295325841,-4278.9987,346,66,0.809,0.924,145,119,0.179,0.526,491,185,0.623,0.834,87.1,71,0.704684318,0.295315682,0.00203666,0.08496732,0.295325841,1,1,1,17,17,59,0.242857143,0.1659452,0.135448892,0.06996,17,17,54,0.24285714,0.105601519,0.135448892,0.06996
002_Vieira,Extant,10,1946,10,1838,108,1,0.944501542,0.055498458,0,2006,684,0.659,0.379,2006,684,0.659,0.379,9,74.1,165,41,0.752,0.715,2173,727,0.665,0.416,9,78.5,0.923147722,0.075931891,0.000460193,0.085753804,0.075608965,0,1,2,0,7,0.166666667,0,0.2857143,0.1428571,0,0.1643173,0.08215865,0.160998153,0.13038,0,0.1945317,0.09726584,-10227.4698,2008,686,0.658,0.377,86.3,8,-11057.894,2008,686,0.658,0.377,165,41,0.752,0.715,2173,727,0.665,0.416,90.1,8,0.924068109,0.075931891,0.000460193,0.085753804,0.075608965,-11037.4715,2008,686,0.658,0.377,165,41,0.752,0.715,2173,727,0.665,0.416,89.4,8,0.924068109,0.075931891,0.000460193,0.085753804,0.075608965,1,1,1,0,0,8,0,0,0,0,0,0,8,0,0,0,0
003_Leary,Extant,9,2780,9,2657,123,34,0.955755396,0.044244604,0,2138,599,0.72,0.454,2145,606,0.717,0.448,8,93.9,160,52,0.675,0.548,2298,658,0.714,0.453,8,82.7,0.933420366,0.069625762,0.000435161,0.065853659,0.069353576,0,0,1,1,7,0.166666667,0.1666667,0.1666667,0.1666667,0.1931574,0.1931574,0.1931574,0.161898556,0.1527,0.1618986,0.1618986,0.1618986,-12528.8058,2142,603,0.718,0.451,89.5,7,-13345.9606,2145,606,0.717,0.448,160,52,0.675,0.548,2298,658,0.714,0.453,91.8,7,0.933420366,0.069625762,0.000435161,0.065853659,0.069353576,-13232.4803,2145,606,0.717,0.448,160,52,0.675,0.548,2298,658,0.714,0.453,90.8,7,0.933420366,0.069625762,0.000435161,0.065853659,0.069353576,1,1,1,1,1,6,0.166666667,0.1931574,0.144415288,0.13829,1,1,6,0.166666667,0.1931574,0.144415288,0.13829
004_Magallon,Extant,34,5470,34,5415,55,1,0.989945155,0.010054845,0,2182,517,0.763,0.728,2183,518,0.763,0.727,31,72,205,111,0.459,0.636,2366,632,0.733,0.713,31,68.3,0.922654269,0.086644125,0.000422654,0.054209919,0.086476918,2,4,7,3,24,0.185185185,0.09677419,0.2258065,0.1505376,0.0697555,0.1743888,0.1162592,0.135093379,0.08434,0.04730852,0.1325161,0.08474917,-19928.2399,2183,518,0.763,0.727,90.5,32,-21074.6893,2184,519,0.762,0.727,207,113,0.454,0.63,2366,632,0.733,0.713,92.2,32,0.923076923,0.087489434,0.000422654,0.054209919,0.087324602,-21067.9098,2184,519,0.762,0.727,207,113,0.454,0.63,2366,632,0.733,0.713,92.2,32,0.923076923,0.087489434,0.000422654,0.054209919,0.087324602,1,1,1,2,2,30,0.064516129,0.03487775,0.028460419,0.02038,2,2,30,0.064516129,0.03487775,0.028460419,0.02038
005_LinHastings,Extant,40,3692,40,3544,148,0,0.959913326,0.040086674,0,4816,3260,0.323,0.477,4821,3265,0.323,0.476,37,70.8,359,169,0.529,0.817,5202,3456,0.336,0.517,37,74.7,0.926758939,0.069011918,0.000192234,0.10882016,0.068914678,1,3,8,1,29,0.142857143,0.08108108,0.1621622,0.1381381,0.08716422,0.116219,0.106534,0.136902578,0.06768,0.08195487,0.1208756,0.1019255,-24943.4814,4831,3275,0.322,0.475,89.3,38,-27356.6572,4851,3295,0.321,0.471,356,166,0.534,0.82,5207,3461,0.335,0.516,94.6,38,0.931630497,0.068369503,0.000192049,0.10882016,0.068271341,-27343.0802,4851,3295,0.321,0.471,356,166,0.534,0.82,5207,3461,0.335,0.516,94.4,38,0.931630497,0.068369503,0.000192049,0.10882016,0.068271341,1,1,1,8,8,30,0.216216216,0.1452737,0.182333071,0.11569,8,8,30,0.216216216,0.1452737,0.182333071,0.11569
006_Klopfstein,Extant,77,2212,77,2146,66,0,0.970162749,0.029837251,0,5369,3876,0.278,0.623,5374,3881,0.278,0.623,64,66.9,642,527,0.179,0.62,6023,4415,0.267,0.622,64,65.5,0.892246389,0.1065914,0.00016603,0.071517413,0.106566404,5,3,15,9,49,0.203389831,0.09459459,0.2837838,0.1998362,0.04275339,0.1710136,0.1155205,0.194703007,0.06998,0.066529,0.1833678,0.1271483,-27051.8612,5393,3900,0.277,0.621,94.2,75,-30711.4521,5405,3912,0.276,0.62,648,533,0.177,0.615,6053,4445,0.266,0.619,93.9,75,0.892945647,0.107054353,0.000165207,0.071517413,0.107029815,-30711.4665,6053,4445,0.266,0.619,648,533,0.177,0.615,6053,4445,0.266,0.619,94.1,75,1,0.107054353,0.000165207,0.071517413,0.107029815,1,1,1,8,8,67,0.108108108,0.08550678,0.056615547,0.02668,8,8,67,0.108108108,0.08550678,0.056615547,0.02668
007_Echevarria,Extant,267,14315,267,14264,51,0,0.996437304,0.003562696,0,83483,69543,0.167,0.448,83483,69543,0.167,0.448,237,63.2,303,226,0.254,0.775,83789,69772,0.167,0.451,237,63,0.996347969,0.003616226,1.19347E-05,0.00549333,0.003613202,11,10,3,15,234,0.037344398,0,0.07575758,0.03849306,0,0.05461058,0.0300222,0.041649033,0.00878,0,0.03846526,0.0218036,-347967.7899,83799,69859,0.166,0.446,81.9,265,-349255.4412,83823,69883,0.166,0.445,317,240,0.243,0.761,84140,70123,0.167,0.448,96.2,265,0.99623247,0.00376753,1.1885E-05,0.00549333,0.00376465,-349254.8786,83800,69860,0.166,0.446,318,241,0.242,0.76,84118,70101,0.167,0.448,95.6,265,0.996219596,0.003780404,1.18881E-05,0.00549333,0.003777534,1,1,1,11,11,254,0.041666667,0.01170227,0.020791359,0.00509,13,13,252,0.049242424,0.01560302,0.026030594,0.00638
008_Cascini,Extant,28,15372,28,15253,119,0,0.992258652,0.007741348,0,15355,9373,0.39,0.421,15355,9373,0.39,0.421,27,89.9,398,197,0.505,0.654,15753,9570,0.392,0.429,27,93.9,0.974734971,0.025265029,6.348E-05,0.032508491,0.025233599,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,-82259.598,15357,9375,0.39,0.421,95.4,26,-84495.2036,15432,9450,0.388,0.416,386,185,0.521,0.675,15818,9635,0.391,0.425,95.7,26,0.975597421,0.024402579,6.32191E-05,0.032508491,0.024370245,-84492.0971,15432,9450,0.388,0.416,386,185,0.521,0.675,15818,9635,0.391,0.425,95.8,26,0.975597421,0.024402579,6.32191E-05,0.032508491,0.024370245,1,1,1,3,3,23,0.12,0.1307162,0.098879477,0.07482,3,3,23,0.12,0.1307162,0.098879477,0.07482
009_Wood,Extant,32,5444,32,5316,128,0,0.976487877,0.023512123,0,9349,4624,0.505,0.462,9364,4639,0.505,0.461,21,55.1,356,191,0.466,0.771,9726,4836,0.503,0.485,21,51.3,0.962780177,0.03660292,0.000102817,0.033742331,0.036556898,4,4,5,2,16,0.2,0.2068966,0.3448276,0.2835249,0.07473454,0.2615709,0.1702287,0.173652514,0.0715,0.1710505,0.2465916,0.2135493,-44986.6141,9379,4654,0.504,0.459,87.8,30,-47159.7743,9391,4666,0.503,0.458,357,192,0.465,0.77,9748,4858,0.502,0.482,88.4,30,0.963377103,0.036622897,0.000102585,0.033742331,0.036577079,-47150.9447,9391,4666,0.503,0.458,357,192,0.465,0.77,9748,4858,0.502,0.482,87.5,30,0.963377103,0.036622897,0.000102585,0.033742331,0.036577079,1,1,1,7,7,23,0.24137931,0.1494691,0.188363502,0.1314,7,7,23,0.24137931,0.1494691,0.188363502,0.1314
010_Anker,Extant,16,548,16,509,39,5,0.928832117,0.071167883,0,546,235,0.57,0.52,547,235,0.569,0.518,15,64.6,75,32,0.68,0.861,623,270,0.567,0.52,15,68.7,0.878009631,0.120385233,0.001605136,0.121813031,0.11940241,0,1,2,1,13,0.12,0.07692308,0.1538462,0.1153846,0.08599065,0.1719813,0.128986,0.115293951,0.0932,0.0616186,0.1432071,0.1024129,-2964.2402,547,236,0.569,0.518,75.8,12,-3341.0815,551,240,0.564,0.51,75,32,0.68,0.861,626,273,0.564,0.514,79.5,12,0.880191693,0.119808307,0.001597444,0.121813031,0.118829105,-3318.9341,551,240,0.564,0.51,75,32,0.68,0.861,626,273,0.564,0.514,78.3,12,0.880191693,0.119808307,0.001597444,0.121813031,0.118829105,1,1,1,1,1,13,0.076923077,0.08599065,0.091606133,0.07731,1,1,13,0.076923077,0.08599065,0.091606133,0.07731
