"Analysis","Type","Method","Node","Support"
1,"MOL","MP",87,63
1,"MOL","MP",88,55
1,"MOL","MP",89,61
1,"MOL","MP",91,66
1,"MOL","MP",92,54
1,"MOL","MP",93,62
1,"MOL","MP",94,52
1,"MOL","MP",96,55
1,"MOL","MP",97,87
1,"MOL","MP",99,63
1,"MOL","MP",106,85
1,"MOL","MP",107,60
1,"MOL","MP",109,74
1,"MOL","MP",115,55
1,"TE","MP",90,53
1,"TE","MP",92,57
1,"TE","MP",96,65
3,"MOL","MP",17,60
4,"MOL","MP",40,56
4,"MOL","MP",50,54
4,"MOL","MP",51,61
4,"TE","MP",38,67
4,"TE","MP",58,61
5,"TE","MP",57,60
6,"MOL","MP",86,56
6,"MOL","MP",88,63
6,"MOL","MP",90,56
6,"MOL","MP",96,63
6,"MOL","MP",106,53
6,"MOL","MP",110,53
6,"MOL","MP",136,69
6,"TE","MP",85,64
6,"TE","MP",88,50
6,"TE","MP",95,51
6,"TE","MP",114,52
6,"TE","MP",115,75
7,"MOL","MP",316,51
7,"MOL","MP",366,54
8,"TE","MP",44,62
9,"MOL","MP",37,67
9,"MOL","MP",44,53
9,"MOL","MP",46,50
9,"MOL","MP",54,55
9,"TE","MP",40,61
10,"MOL","MP",21,54
10,"MOL","MP",25,52
10,"TE","MP",25,60
10,"TE","MP",27,81
11,"MOL","MP",166,50
11,"MOL","MP",167,52
11,"MOL","MP",169,50
11,"MOL","MP",175,51
11,"MOL","MP",188,55
11,"TE","MP",144,56
11,"TE","MP",152,50
11,"TE","MP",173,50
13,"MOL","MP",46,57
13,"MOL","MP",51,51
13,"TE","MP",41,79
13,"TE","MP",43,86
13,"TE","MP",49,63
13,"TE","MP",53,64
13,"TE","MP",54,58
14,"MOL","MP",53,94
14,"MOL","MP",54,67
14,"MOL","MP",55,53
14,"MOL","MP",57,66
14,"MOL","MP",72,100
14,"MOL","MP",77,62
14,"MOL","MP",86,62
14,"TE","MP",53,99
14,"TE","MP",54,64
14,"TE","MP",56,100
14,"TE","MP",57,58
14,"TE","MP",61,74
14,"TE","MP",62,99
14,"TE","MP",69,85
14,"TE","MP",83,100
15,"MOL","MP",26,58
15,"MOL","MP",31,53
15,"TE","MP",32,60
16,"MOL","MP",52,62
16,"MOL","MP",60,57
16,"MOL","MP",62,68
16,"TE","MP",51,69
16,"TE","MP",52,93
16,"TE","MP",53,60
16,"TE","MP",55,83
16,"TE","MP",64,56
16,"TE","MP",65,57
16,"TE","MP",69,57
16,"TE","MP",72,79
17,"MOL","MP",69,58
17,"MOL","MP",72,81
17,"MOL","MP",95,57
17,"MOL","MP",96,57
17,"TE","MP",62,63
17,"TE","MP",66,66
17,"TE","MP",73,55
17,"TE","MP",84,77
17,"TE","MP",85,89
17,"TE","MP",87,63
17,"TE","MP",90,85
17,"TE","MP",95,67
17,"TE","MP",96,93
17,"TE","MP",97,63
17,"TE","MP",98,65
18,"MOL","MP",19,65
18,"TE","MP",18,91
19,"MOL","MP",66,51
19,"MOL","MP",91,56
19,"TE","MP",90,69
20,"MOL","MP",52,55
20,"MOL","MP",76,98
20,"TE","MP",78,73
21,"TE","MP",54,94
21,"TE","MP",55,64
21,"TE","MP",61,69
22,"MOL","MP",35,71
22,"TE","MP",35,67
23,"TE","MP",62,62
23,"TE","MP",64,61
23,"TE","MP",81,64
23,"TE","MP",88,74
23,"TE","MP",91,69
23,"TE","MP",95,52
