"Analysis","Type","Method","Node","Support"
1,"MOL","MP",13,98
1,"MOL","MP",14,98
1,"MOL","MP",17,60
2,"MOL","MP",316,51
2,"MOL","MP",356,100
2,"MOL","MP",362,100
2,"MOL","MP",366,54
3,"TE","MP",44,62
4,"MOL","MP",37,67
4,"MOL","MP",38,93
4,"MOL","MP",44,53
4,"MOL","MP",46,50
4,"MOL","MP",54,55
4,"TE","MP",40,62
5,"MOL","MP",19,98
5,"MOL","MP",21,54
5,"MOL","MP",25,52
5,"TE","MP",24,59
5,"TE","MP",26,79
6,"MOL","MP",166,50
6,"MOL","MP",167,52
6,"MOL","MP",169,50
6,"MOL","MP",175,51
6,"MOL","MP",188,55
6,"TE","MP",144,56
6,"TE","MP",152,50
6,"TE","MP",173,50
7,"MOL","MP",46,57
7,"MOL","MP",48,98
7,"MOL","MP",51,51
7,"MOL","MP",53,50
7,"MOL","MP",54,100
7,"TE","MP",42,54
8,"MOL","MP",62,51
8,"MOL","MP",64,92
8,"MOL","MP",65,74
8,"MOL","MP",67,63
8,"MOL","MP",68,79
8,"MOL","MP",69,58
8,"MOL","MP",72,81
8,"MOL","MP",83,94
8,"MOL","MP",86,59
8,"MOL","MP",91,94
8,"MOL","MP",94,57
8,"MOL","MP",95,57
8,"MOL","MP",96,57
8,"TE","MP",66,51
8,"TE","MP",84,56
9,"MOL","MP",40,100
9,"MOL","MP",41,100
9,"MOL","MP",42,100
9,"MOL","MP",44,100
9,"MOL","MP",47,100
9,"MOL","MP",49,100
9,"MOL","MP",50,99
9,"MOL","MP",52,100
9,"MOL","MP",54,100
9,"MOL","MP",55,100
9,"MOL","MP",56,93
9,"MOL","MP",57,100
9,"MOL","MP",58,99
9,"MOL","MP",59,96
9,"MOL","MP",60,100
9,"MOL","MP",61,100
9,"MOL","MP",62,100
9,"MOL","MP",63,100
9,"MOL","MP",64,100
9,"MOL","MP",65,100
9,"MOL","MP",66,100
9,"MOL","MP",67,100
9,"MOL","MP",68,100
9,"MOL","MP",69,100
10,"MOL","MP",43,52
10,"MOL","MP",48,71
10,"MOL","MP",49,84
10,"MOL","MP",50,99
10,"MOL","MP",51,99
10,"MOL","MP",52,99
10,"MOL","MP",53,99
10,"MOL","MP",54,100
10,"MOL","MP",55,97
10,"MOL","MP",57,100
10,"MOL","MP",59,93
10,"MOL","MP",62,59
10,"TE","MP",44,75
10,"TE","MP",48,51
11,"MOL","MP",31,100
11,"MOL","MP",32,100
11,"MOL","MP",33,100
11,"MOL","MP",35,100
11,"MOL","MP",37,89
11,"MOL","MP",38,51
11,"MOL","MP",39,67
11,"MOL","MP",40,90
11,"MOL","MP",42,100
11,"MOL","MP",43,100
11,"MOL","MP",44,93
11,"MOL","MP",45,100
11,"MOL","MP",46,72
12,"MOL","MP",51,76
12,"MOL","MP",55,67
12,"MOL","MP",58,76
12,"MOL","MP",59,100
12,"MOL","MP",60,78
12,"MOL","MP",61,64
12,"MOL","MP",66,78
12,"TE","MP",55,51
12,"TE","MP",60,53
13,"MOL","MP",50,57
13,"MOL","MP",51,52
13,"TE","MP",46,78
13,"TE","MP",49,64
13,"TE","MP",52,56
14,"MOL","MP",69,99
14,"MOL","MP",74,94
14,"MOL","MP",76,82
14,"MOL","MP",80,66
14,"MOL","MP",82,87
14,"MOL","MP",86,86
14,"MOL","MP",87,60
14,"MOL","MP",88,93
14,"MOL","MP",92,82
14,"MOL","MP",93,60
14,"TE","MP",81,50
15,"MOL","MP",46,55
15,"MOL","MP",47,61
15,"MOL","MP",48,78
15,"MOL","MP",49,99
15,"MOL","MP",50,94
15,"MOL","MP",51,76
15,"MOL","MP",53,95
15,"MOL","MP",54,81
15,"MOL","MP",55,60
15,"MOL","MP",57,58
15,"MOL","MP",58,61
15,"MOL","MP",59,99
15,"MOL","MP",66,76
15,"MOL","MP",67,98
15,"MOL","MP",68,62
15,"TE","MP",46,51
15,"TE","MP",54,76
15,"TE","MP",56,70
15,"TE","MP",57,68
16,"MOL","MP",14,100
16,"MOL","MP",16,100
16,"MOL","MP",17,100
16,"MOL","MP",18,100
16,"MOL","MP",19,100
17,"MOL","MP",39,65
17,"MOL","MP",56,58
17,"MOL","MP",57,98
17,"MOL","MP",58,60
17,"MOL","MP",61,60
17,"TE","MP",51,74
17,"TE","MP",56,51
18,"MOL","MP",145,87
18,"MOL","MP",147,53
18,"MOL","MP",148,58
18,"MOL","MP",149,79
18,"TE","MP",103,50
18,"TE","MP",126,77
19,"MOL","MP",72,85
19,"MOL","MP",73,99
19,"TE","MP",76,62
20,"MOL","MP",97,99
20,"MOL","MP",98,51
20,"MOL","MP",99,97
20,"MOL","MP",100,51
20,"MOL","MP",101,84
20,"MOL","MP",103,87
20,"MOL","MP",104,70
20,"MOL","MP",105,100
20,"MOL","MP",106,99
20,"MOL","MP",111,80
20,"MOL","MP",112,100
20,"MOL","MP",119,99
20,"MOL","MP",123,63
20,"MOL","MP",132,69
20,"MOL","MP",133,51
20,"MOL","MP",135,71
20,"MOL","MP",138,67
20,"MOL","MP",139,55
20,"MOL","MP",143,82
20,"MOL","MP",144,94
20,"MOL","MP",154,90
20,"TE","MP",103,70
20,"TE","MP",104,58
20,"TE","MP",110,88
20,"TE","MP",127,55
20,"TE","MP",131,56
21,"MOL","MP",22,100
21,"MOL","MP",23,100
21,"MOL","MP",24,72
21,"MOL","MP",27,55
21,"MOL","MP",28,99
21,"MOL","MP",29,100
21,"MOL","MP",33,100
21,"MOL","MP",34,99
21,"MOL","MP",37,100
21,"TE","MP",24,63
21,"TE","MP",30,88
22,"MOL","MP",49,53
22,"MOL","MP",52,92
22,"MOL","MP",81,66
22,"MOL","MP",82,89
22,"MOL","MP",83,100
1,"TE","ML_ASC",11,66
1,"TE","ML_ASC",13,61
2,"MOL","ML_ASC",287,52
2,"MOL","ML_ASC",434,50
2,"TE","ML_ASC",272,66
2,"TE","ML_ASC",273,55
2,"TE","ML_ASC",274,53
2,"TE","ML_ASC",275,73
2,"TE","ML_ASC",281,79
2,"TE","ML_ASC",282,79
2,"TE","ML_ASC",290,100
2,"TE","ML_ASC",306,89
2,"TE","ML_ASC",327,74
2,"TE","ML_ASC",346,75
2,"TE","ML_ASC",351,86
2,"TE","ML_ASC",359,61
2,"TE","ML_ASC",360,59
2,"TE","ML_ASC",361,61
2,"TE","ML_ASC",530,100
3,"MOL","ML_ASC",34,66
3,"MOL","ML_ASC",42,73
3,"MOL","ML_ASC",43,79
